stop_id,stop_name,arrival_time,stop_sequence,direction_id,route_short_name,route_long_name,route_type
2035,Château de Vincennes,50460,1,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
2067,Bérault,50580,2,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1725,Saint-Mandé,50640,3,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1751,Porte de Vincennes,50760,4,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1832,Nation,50820,5,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1698,Reuilly-Diderot,50940,6,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1955,Gare de Lyon,51060,7,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
2062,Bastille,51180,8,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1642,Saint-Paul (Le Marais),51300,9,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1892,Hôtel de Ville,51420,10,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
2036,Châtelet,51480,11,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1864,Louvre-Rivoli,51540,12,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1773,Palais-Royal (Musée du Louvre),51600,13,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1688,Tuileries,51660,14,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1980,Concorde,51780,15,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
2083,Champs-Elysées-Clémenceau,51840,16,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1945,Franklin-Roosevelt,51960,17,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1961,George V,52020,18,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
2028,Charles de Gaulle-Etoile,52080,19,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
2048,Argentine,52200,20,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1755,Porte Maillot,52260,21,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1856,Les Sablons (Jardin d'acclimatation),52380,22,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1803,Pont de Neuilly,52500,23,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1933,Esplanade de la Défense,52560,24,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1887,La Défense (Grande Arche),52740,25,0,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Aller,1
1887,La Défense (Grande Arche),52740,1,1,1,(CHATEAU DE VINCENNES <-> LA DEFENSE) - Retour,1
